week,week_ending
1,1/4/2020
2,1/11/2020
3,1/18/2020
4,1/25/2020
5,2/1/2020
6,2/8/2020
7,2/15/2020
8,2/22/2020
9,2/29/2020
10,3/7/2020
11,3/14/2020
12,3/21/2020
13,3/28/2020
14,4/4/2020
15,4/11/2020
16,4/18/2020
17,4/25/2020
18,5/2/2020
19,5/9/2020
20,5/16/2020
21,5/23/2020
22,5/30/2020
23,6/6/2020
24,6/13/2020
25,6/20/2020
26,6/27/2020
27,7/4/2020
28,7/11/2020
29,7/18/2020
30,7/25/2020
31,8/1/2020
32,8/8/2020
33,8/15/2020
34,8/22/2020
35,8/29/2020
36,9/5/2020
37,9/12/2020
38,9/19/2020
39,9/26/2020
40,10/3/2020
41,10/10/2020
42,10/17/2020
43,10/24/2020
44,10/31/2020
45,11/7/2020
46,11/14/2020
47,11/21/2020
48,11/28/2020
49,12/5/2020
50,12/12/2020
51,12/19/2020
52,12/26/2020
