State,obs_2019
Alabama,53055
Alaska,4520
Arizona,60951
Arkansas,32192
California,269955
Colorado,39959
Connecticut,31815
Delaware,9231
District of Columbia,6022
Florida,209164
Georgia,85945
Hawaii,11739
Idaho,14302
Illinois,105544
Indiana,66243
Iowa,30565
Kansas,26663
Kentucky,48653
Louisiana,45983
Maine,14826
Maryland,50320
Massachusetts,59375
Michigan,97469
Minnesota,45256
Mississippi,31949
Missouri,64549
Montana,10404
Nebraska,17149
Nevada,26356
New Hampshire,12370
New Jersey,73994
New Mexico,18832
New York,154585
North Carolina,96410
North Dakota,7373
Ohio,123359
Oklahoma,39610
Oregon,37305
Pennsylvania,134823
Rhode Island,10561
South Carolina,49842
South Dakota,8374
Tennessee,75562
Texas,205837
Utah,19363
Vermont,5653
Virginia,69219
Washington,58027
West Virginia,22829
Wisconsin,53851
Wyoming,4674
